date,window,assets_used,mean_abs_corr,recession,h0_landscape_l1_z,neg_h1_landscape_l1_z,neg_beta1_z,neg_total_persistence_h0_z,neg_total_persistence_h1_z,composite_z
1967-03-27,60,49,0.3236975000606465,False,1.257157653982606,-1.107598074995485,-0.6702782450812885,-1.2487784228833827,-1.2347419927571226,-0.6008478163469346
1967-03-28,60,49,0.3116903925437518,False,1.358624355822527,-1.4100502535973218,-1.21335644113277,-1.3308395499113914,-1.5317521976229589,-0.8254748172883829
1967-03-29,60,49,0.3116703913375972,False,1.3620499489753495,-1.5707815938105925,-1.21335644113277,-1.3340161476994958,-1.552915513568553,-0.8618039494472123
1967-03-30,60,49,0.3129688096396778,False,1.380141295131975,-0.9350156314739936,-1.7564346371842514,-1.3427295927857616,-1.3509806180721984,-0.8010038368768461
1967-03-31,60,49,0.3214968656970534,False,1.2898489816000325,-1.2070114031586825,-1.21335644113277,-1.2724190279113388,-1.3707246808983178,-0.7547325143002154
1967-04-03,60,49,0.3275841436924429,False,1.2252576834537605,-0.6157559914196555,-0.6702782450812885,-1.218636630818357,-0.792525060337131,-0.41438764884053425
1967-04-04,60,49,0.3222882694876023,False,1.266863584903008,-0.33257023612076486,-0.6702782450812885,-1.2527865021842324,-1.016515347402458,-0.4010573491771471
1967-04-05,60,49,0.3196093011237922,False,1.2685199205194033,-0.15624601469857463,-0.7249126730918005,-1.2552681837266066,-1.0229015166840891,-0.37816169353633355
1967-04-06,60,49,0.3206690949453518,False,1.262249326136758,0.03403995312793179,-1.21335644113277,-1.2476975753752364,-0.6076259211902644,-0.35447813168671616
1967-04-07,60,49,0.3270927581461958,False,1.222369547285597,-0.33917586574107556,-1.7564346371842514,-1.217522385430795,-0.5860466409016192,-0.5353619963944288
1967-04-10,60,49,0.3621707613656359,False,0.9649169213307982,-0.7834517918214757,-1.7564346371842514,-1.0029640568377212,-0.9634946698156959,-0.7082856468656692
1967-04-11,60,49,0.3644858368066762,False,0.934032456323132,-0.8304739772187597,-1.21335644113277,-0.9762277500925958,-0.9978999324269957,-0.6167851289095978
1967-04-12,60,49,0.3656049418093305,False,0.9379783389337895,-0.5307972266294088,-1.21335644113277,-0.9738043710684178,-0.800438008757915,-0.5160835417309444
1967-04-13,60,49,0.356266164845559,False,0.9865295526069369,-0.06477781091676592,-1.7564346371842514,-1.0205072151858952,-0.5322767822411572,-0.4774933785842266
1967-04-14,60,49,0.3608845989207178,False,0.9673330333248833,-0.09792980649462793,-1.7564346371842514,-1.0025270625789022,-0.6960160073508888,-0.5171148960567574
